Provider,Server_Type,Region,OS_Type,Hour,Active_Users,Network_Packets_In,Disk_IO_Speed,Memory_Usage_Percent,CPU_Load
GCP,X-Large,AP-South,Linux,4,4852,48520,79.7,55.1,78.8
AWS,Micro,EU-West,Linux,4,11,110,145.2,18.6,10.9
AWS,Micro,AP-South,Ubuntu,5,38,494,111.8,21.7,21.6
GCP,Large,US-East,Windows,2,412,4944,189.0,50.0,33.3
Azure,Micro,EU-West,Windows,20,189,1512,53.9,76.7,82.6
AWS,Micro,US-East,Ubuntu,22,36,288,24.6,23.4,25.3
Azure,Large,US-East,Linux,4,287,3731,81.7,32.8,18.6
AWS,Large,AP-South,Windows,20,1267,6335,125.3,78.0,77.3
AWS,Micro,EU-West,Linux,4,31,186,172.9,26.5,16.0
Azure,X-Large,EU-West,Windows,9,4754,28524,72.5,76.6,97.5
Azure,Large,AP-South,Ubuntu,9,620,6200,132.5,39.2,41.2
Azure,Micro,US-East,Windows,18,198,1584,73.3,77.3,90.9
AWS,Micro,EU-West,Ubuntu,16,106,1484,125.4,40.6,46.3
Azure,Large,EU-West,Windows,20,895,6265,177.5,61.9,57.3
Azure,X-Large,US-East,Ubuntu,13,1514,10598,50.1,31.1,11.9
Azure,X-Large,US-East,Ubuntu,8,1702,11914,83.8,28.6,36.7
Azure,Micro,US-East,Windows,13,127,1270,198.7,72.7,63.5
Azure,Large,US-East,Linux,0,218,2616,174.4,29.9,16.5
Azure,Large,US-East,Ubuntu,18,222,2442,115.1,27.3,11.8
Azure,Large,US-East,Linux,12,612,4896,105.7,37.5,31.7
AWS,X-Large,US-East,Ubuntu,12,2053,16424,60.5,38.2,42.1
Azure,X-Large,AP-South,Windows,3,2830,39620,105.9,63.5,58.6
AWS,X-Large,US-East,Windows,0,3155,18930,170.4,67.2,66.9
GCP,Large,AP-South,Ubuntu,16,1351,6755,138.6,58.8,76.4
GCP,Micro,EU-West,Windows,7,120,1560,61.6,63.0,70.2
AWS,X-Large,US-East,Windows,1,3183,19098,44.3,62.7,66.2
Azure,Large,AP-South,Ubuntu,7,561,6732,56.7,36.0,36.6
AWS,Large,AP-South,Ubuntu,6,1409,18317,38.1,58.0,80.4
GCP,Micro,AP-South,Linux,1,153,1224,23.6,41.9,75.8
AWS,Micro,EU-West,Linux,21,81,972,86.7,35.2,34.9
GCP,Large,AP-South,Ubuntu,21,328,4264,27.1,30.2,29.8
AWS,Micro,EU-West,Linux,2,117,1638,38.5,47.2,54.3
AWS,X-Large,US-East,Windows,17,2284,31976,111.7,60.2,50.6
AWS,Large,EU-West,Windows,11,714,6426,37.1,55.9,50.4
AWS,X-Large,US-East,Windows,0,1448,15928,17.5,52.7,47.1
AWS,Large,US-East,Ubuntu,21,1327,18578,66.9,52.1,79.0
GCP,X-Large,AP-South,Windows,11,2506,20048,48.0,65.4,57.6
AWS,Micro,AP-South,Windows,4,73,365,105.5,50.8,42.8
AWS,Micro,EU-West,Linux,16,115,805,25.0,39.9,51.9
AWS,X-Large,AP-South,Ubuntu,15,4937,44433,151.6,57.3,76.2
Azure,Large,US-East,Ubuntu,14,672,4704,181.7,35.0,38.4
GCP,Large,AP-South,Windows,22,1233,13563,150.0,78.5,87.4
AWS,X-Large,EU-West,Ubuntu,14,2428,31564,108.9,40.6,46.9
GCP,X-Large,EU-West,Linux,4,4967,49670,172.8,57.0,83.8
AWS,Micro,AP-South,Linux,20,55,770,140.5,30.8,35.0
Azure,Micro,AP-South,Ubuntu,13,164,820,7.1,55.8,68.3
GCP,X-Large,US-East,Windows,1,4137,45507,81.8,76.0,80.8
Azure,X-Large,AP-South,Ubuntu,10,3984,27888,170.9,54.9,66.7
Azure,Large,EU-West,Linux,18,311,2799,72.4,32.3,26.5
AWS,Large,EU-West,Windows,6,1236,17304,11.9,72.7,77.4
GCP,X-Large,US-East,Ubuntu,5,2416,19328,150.5,38.6,53.4
GCP,Large,AP-South,Linux,1,699,9786,161.4,45.5,46.3
GCP,Micro,US-East,Ubuntu,5,173,1557,36.3,53.8,65.0
GCP,Large,AP-South,Ubuntu,17,797,7173,109.8,35.9,47.5
AWS,X-Large,US-East,Windows,1,3281,32810,42.4,63.3,65.2
AWS,Micro,US-East,Linux,17,99,1386,145.3,34.6,48.9
Azure,Micro,EU-West,Ubuntu,14,67,938,58.0,35.5,41.2
AWS,Micro,US-East,Ubuntu,18,63,630,66.7,35.7,24.9
GCP,Large,US-East,Windows,1,1235,14820,169.8,72.8,83.9
AWS,Large,EU-West,Ubuntu,19,408,4896,97.9,32.5,23.2
Azure,Micro,US-East,Linux,5,23,299,135.6,22.5,14.8
GCP,Micro,EU-West,Ubuntu,0,130,1560,83.5,43.4,50.3
GCP,Large,US-East,Windows,23,1243,7458,63.1,76.6,78.8
Azure,Large,AP-South,Windows,14,786,11004,127.0,59.6,61.2
Azure,Micro,EU-West,Windows,22,153,765,35.2,73.6,74.1
GCP,Large,AP-South,Ubuntu,9,1214,16996,77.7,53.1,71.1
AWS,Large,EU-West,Windows,18,1293,7758,45.8,74.1,80.4
AWS,Large,US-East,Linux,16,1434,8604,140.7,58.0,81.5
GCP,Large,EU-West,Linux,4,1324,9268,189.1,57.6,79.3
GCP,X-Large,US-East,Ubuntu,3,1697,23758,199.1,32.1,27.6
GCP,X-Large,AP-South,Ubuntu,9,3179,34969,92.8,49.6,52.4
AWS,X-Large,US-East,Linux,23,4694,28164,54.2,56.2,91.4
AWS,Micro,EU-West,Linux,16,134,670,91.4,49.3,57.8
GCP,Large,US-East,Linux,9,1355,13550,170.2,58.7,73.7
Azure,X-Large,EU-West,Linux,16,2043,26559,45.2,31.1,37.6
GCP,Large,US-East,Linux,19,735,5145,190.7,38.6,37.7
GCP,X-Large,US-East,Linux,23,2013,20130,71.7,33.4,43.3
AWS,Micro,AP-South,Linux,4,163,1141,197.2,53.2,67.5
GCP,Micro,EU-West,Windows,1,46,230,168.5,50.1,25.1
AWS,X-Large,AP-South,Linux,5,4813,43317,162.7,60.2,74.3
Azure,Micro,EU-West,Linux,20,63,882,67.0,29.8,26.2
GCP,Large,EU-West,Linux,1,1070,8560,6.7,50.9,63.4
Azure,Large,EU-West,Ubuntu,12,604,6644,79.5,36.7,39.1
GCP,Micro,AP-South,Ubuntu,10,47,470,63.9,30.5,24.9
Azure,Large,AP-South,Windows,10,1141,15974,12.3,69.2,78.1
AWS,X-Large,AP-South,Ubuntu,15,2795,30745,103.5,40.0,53.0
GCP,X-Large,AP-South,Windows,10,1187,10683,83.6,51.8,39.4
GCP,X-Large,AP-South,Ubuntu,18,2080,16640,128.7,38.2,49.2
Azure,Large,AP-South,Ubuntu,14,1140,12540,126.1,45.7,70.3
AWS,X-Large,US-East,Ubuntu,22,4091,45001,28.5,56.3,75.2
Azure,Micro,AP-South,Ubuntu,22,26,260,195.5,25.6,22.9
Azure,X-Large,AP-South,Windows,15,4190,50280,41.5,70.3,80.3
AWS,Large,EU-West,Linux,10,782,6256,91.8,40.8,41.7
Azure,Large,EU-West,Windows,21,715,10010,100.2,56.8,44.4
Azure,X-Large,EU-West,Linux,15,4292,38628,163.5,54.5,74.1
GCP,Micro,AP-South,Ubuntu,7,23,184,24.3,20.9,9.4
Azure,Micro,EU-West,Ubuntu,3,12,60,88.6,21.7,4.4
GCP,Micro,US-East,Linux,7,89,1068,127.6,41.0,51.2
AWS,Large,US-East,Linux,3,897,4485,47.0,45.6,53.9
Azure,Micro,EU-West,Linux,23,64,576,127.4,34.8,35.7
AWS,Large,EU-West,Ubuntu,2,699,6990,185.1,36.1,40.7
GCP,X-Large,AP-South,Windows,2,3947,39470,199.5,74.6,77.5
GCP,X-Large,EU-West,Linux,17,4959,44631,11.3,56.4,83.0
GCP,Large,EU-West,Windows,18,965,6755,50.9,65.4,57.8
Azure,Large,EU-West,Ubuntu,18,735,6615,65.5,38.3,39.1
GCP,X-Large,EU-West,Linux,20,1161,13932,82.8,29.1,30.9
GCP,X-Large,AP-South,Windows,4,4741,28446,52.2,78.9,87.1
Azure,Large,AP-South,Ubuntu,17,793,7930,44.7,40.8,56.9
Azure,X-Large,EU-West,Ubuntu,9,2938,38194,191.1,45.5,40.2
Azure,X-Large,US-East,Windows,21,3206,38472,184.1,65.9,68.0
GCP,Micro,AP-South,Windows,20,197,2364,14.2,77.0,92.7
GCP,Micro,US-East,Ubuntu,5,69,828,71.1,28.3,40.2
Azure,X-Large,AP-South,Linux,0,3962,43582,84.0,50.7,66.8
Azure,X-Large,AP-South,Ubuntu,4,4888,58656,51.6,62.8,87.5
AWS,Micro,EU-West,Windows,8,72,720,127.6,55.0,42.7
AWS,X-Large,AP-South,Ubuntu,11,2901,17406,129.9,46.4,52.8
Azure,Large,AP-South,Linux,13,410,2460,170.8,29.3,32.0
Azure,X-Large,AP-South,Ubuntu,1,1405,16860,149.5,32.4,29.7
AWS,X-Large,EU-West,Linux,16,1663,8315,110.8,34.4,31.0
Azure,Large,EU-West,Windows,13,1332,13320,132.4,76.0,86.1
GCP,Micro,EU-West,Linux,12,85,850,58.4,34.2,32.2
GCP,X-Large,AP-South,Linux,8,1541,12328,120.6,28.7,33.7
GCP,Micro,US-East,Ubuntu,14,67,938,100.4,33.2,34.2
Azure,Micro,US-East,Linux,21,126,882,31.0,47.1,60.6
Azure,X-Large,EU-West,Linux,14,3974,27818,52.3,51.1,66.3
AWS,X-Large,US-East,Ubuntu,23,1867,9335,61.9,34.5,24.9
Azure,Micro,US-East,Linux,10,28,196,185.2,24.9,9.8
Azure,X-Large,EU-West,Ubuntu,15,1431,11448,49.9,28.8,24.7
AWS,X-Large,AP-South,Windows,16,4756,42804,61.4,74.2,97.0
Azure,Micro,EU-West,Linux,3,103,721,77.0,38.5,41.4
AWS,Micro,AP-South,Linux,0,192,1920,134.4,55.8,79.4
Azure,Large,EU-West,Ubuntu,7,312,2808,28.1,29.2,19.8
Azure,X-Large,US-East,Ubuntu,16,2206,15442,191.0,39.5,43.6
Azure,Large,EU-West,Linux,2,680,6800,173.8,39.3,31.7
Azure,Micro,US-East,Ubuntu,19,155,1550,117.6,49.0,69.2
GCP,X-Large,EU-West,Ubuntu,14,1830,21960,136.4,37.9,42.6
GCP,Micro,AP-South,Linux,14,125,750,8.2,43.2,54.1
Azure,X-Large,AP-South,Ubuntu,23,2136,10680,71.1,37.0,47.4
GCP,X-Large,AP-South,Ubuntu,21,3810,30480,160.2,50.7,66.4
AWS,Large,AP-South,Ubuntu,13,675,7425,20.1,37.4,52.5
GCP,Micro,AP-South,Windows,22,56,784,60.1,48.7,37.3
AWS,X-Large,AP-South,Ubuntu,13,1970,13790,119.1,32.7,34.6
AWS,Large,EU-West,Linux,23,1219,8533,55.0,47.1,66.0
AWS,Micro,US-East,Ubuntu,1,127,1143,187.1,45.9,60.2
GCP,Large,EU-West,Ubuntu,12,360,3240,30.6,29.4,25.4
Azure,Micro,EU-West,Windows,13,154,2156,160.5,75.7,77.0
Azure,X-Large,EU-West,Ubuntu,23,1197,8379,104.0,30.4,20.3
GCP,Large,US-East,Windows,18,1483,19279,151.3,83.0,95.5
AWS,Large,AP-South,Ubuntu,6,859,6872,65.6,44.4,53.0
GCP,X-Large,EU-West,Ubuntu,2,2775,19425,105.3,39.8,43.1
Azure,Micro,EU-West,Windows,14,56,336,172.1,43.8,31.6
GCP,X-Large,US-East,Linux,22,3010,42140,96.0,43.3,55.1
GCP,Large,EU-West,Linux,13,598,7774,75.1,36.1,38.9
Azure,X-Large,EU-West,Linux,10,2733,21864,109.6,45.9,49.9
Azure,Large,EU-West,Ubuntu,14,277,1939,144.9,29.4,19.8
AWS,X-Large,AP-South,Windows,12,3171,34881,91.5,67.8,64.2
AWS,Micro,EU-West,Ubuntu,17,84,1008,188.1,31.3,32.4
Azure,Large,AP-South,Windows,5,336,2016,62.5,54.5,43.5
AWS,Large,EU-West,Ubuntu,2,801,8811,97.7,41.3,38.0
Azure,Micro,AP-South,Linux,18,153,1377,152.6,52.8,66.9
GCP,X-Large,US-East,Ubuntu,14,1836,16524,139.4,31.5,43.1
AWS,Micro,EU-West,Ubuntu,22,70,490,173.4,34.0,28.0
Azure,X-Large,EU-West,Windows,4,1137,10233,199.4,41.0,28.4
GCP,Micro,US-East,Windows,9,59,354,88.2,54.4,37.5
GCP,Micro,AP-South,Windows,6,12,96,26.7,44.3,19.7
Azure,Large,US-East,Ubuntu,16,1172,11720,10.9,48.2,69.9
Azure,Large,AP-South,Windows,6,453,2265,146.7,47.5,39.5
GCP,X-Large,US-East,Windows,21,4701,65814,175.4,77.8,87.7
GCP,Micro,EU-West,Windows,11,90,720,48.0,54.1,51.0
Azure,X-Large,AP-South,Ubuntu,16,2900,29000,35.9,44.1,46.0
Azure,Micro,EU-West,Windows,12,60,780,17.1,51.4,43.1
GCP,Micro,EU-West,Ubuntu,19,156,936,165.4,54.0,66.1
GCP,Large,US-East,Windows,3,746,8206,65.7,65.1,50.9
Azure,Micro,EU-West,Ubuntu,9,55,550,83.3,34.1,20.3
Azure,Large,AP-South,Linux,2,1121,6726,103.0,57.1,67.5
GCP,Large,EU-West,Ubuntu,8,780,9360,168.7,33.8,41.0
Azure,Micro,US-East,Ubuntu,12,102,1122,131.9,36.0,52.0
Azure,Micro,US-East,Linux,17,73,657,124.9,38.1,37.3
Azure,X-Large,AP-South,Windows,14,2956,26604,39.3,64.3,64.2
Azure,X-Large,US-East,Ubuntu,3,3003,33033,105.1,46.5,55.1
AWS,X-Large,EU-West,Ubuntu,14,3096,40248,144.5,41.1,57.5
AWS,Large,AP-South,Windows,21,1116,14508,194.8,69.9,83.6
GCP,Large,AP-South,Windows,1,1297,16861,44.3,76.7,86.8
AWS,Large,AP-South,Windows,14,903,9030,6.9,67.2,68.9
Azure,Large,AP-South,Windows,7,460,6440,19.7,52.5,40.2
AWS,Large,AP-South,Windows,7,555,5550,78.3,58.1,46.6
GCP,Large,EU-West,Linux,16,1483,10381,165.0,61.5,78.5
GCP,Micro,AP-South,Ubuntu,11,135,675,6.4,52.6,54.6
GCP,X-Large,AP-South,Linux,18,3790,41690,94.1,49.1,67.5
AWS,X-Large,US-East,Windows,9,4366,34928,69.2,75.0,87.0
AWS,X-Large,AP-South,Ubuntu,8,2009,10045,15.2,30.6,36.3
AWS,Micro,US-East,Linux,4,172,2064,92.8,54.0,68.7
GCP,X-Large,EU-West,Ubuntu,5,1640,16400,54.7,31.4,22.8
Azure,Large,EU-West,Linux,19,991,9910,73.6,44.1,55.4
Azure,Micro,EU-West,Windows,1,66,396,142.6,50.6,45.3
GCP,Micro,EU-West,Linux,23,109,545,106.7,40.7,49.0
GCP,X-Large,US-East,Windows,12,2861,17166,29.3,67.7,60.2
GCP,Large,AP-South,Linux,5,1008,8064,192.5,48.0,59.7
GCP,X-Large,US-East,Linux,4,2205,13230,129.0,39.5,36.5
Azure,Micro,EU-West,Windows,0,183,915,154.3,78.1,91.1
AWS,X-Large,US-East,Linux,20,2851,31361,20.4,41.1,44.6
AWS,Micro,EU-West,Ubuntu,21,117,1404,14.2,41.3,59.0
Azure,Micro,AP-South,Windows,20,197,1970,8.8,77.8,100.0
AWS,Micro,EU-West,Ubuntu,5,66,528,41.8,32.6,32.1
Azure,Large,AP-South,Ubuntu,5,1184,11840,85.8,49.1,63.9
AWS,Large,AP-South,Ubuntu,22,747,5229,187.5,40.4,41.3
Azure,X-Large,US-East,Ubuntu,15,3772,45264,94.1,50.4,69.8
AWS,X-Large,US-East,Ubuntu,3,3973,55622,61.6,55.4,68.4
GCP,X-Large,US-East,Linux,10,2431,14586,114.6,37.8,44.1
GCP,Large,US-East,Linux,23,1075,9675,26.8,52.5,57.3
AWS,X-Large,AP-South,Linux,22,1617,8085,123.9,31.2,29.2
Azure,Large,AP-South,Windows,8,613,6130,115.8,60.0,44.4
AWS,Micro,EU-West,Windows,22,95,570,159.4,62.0,50.1
AWS,Micro,AP-South,Linux,2,144,1152,197.4,45.2,61.4
GCP,Large,US-East,Linux,18,362,3620,53.9,29.6,22.6
Azure,Large,AP-South,Windows,7,1443,20202,104.4,78.1,91.4
GCP,Micro,EU-West,Windows,4,23,276,182.2,42.2,22.6
AWS,Large,US-East,Ubuntu,3,831,9972,158.1,43.8,49.4
GCP,Micro,US-East,Linux,23,147,1470,100.0,53.3,56.5
Azure,X-Large,AP-South,Linux,5,4919,39352,189.3,59.6,65.2
AWS,Micro,AP-South,Windows,1,153,1836,16.2,68.8,78.5
AWS,Micro,EU-West,Windows,19,191,2292,186.5,77.9,80.8
GCP,X-Large,US-East,Linux,10,3014,42196,14.8,40.7,54.1
Azure,Large,AP-South,Ubuntu,3,404,2020,111.7,33.7,22.4
Azure,X-Large,EU-West,Windows,14,1581,12648,178.6,48.1,40.9
Azure,Micro,US-East,Ubuntu,5,53,424,56.2,27.8,28.4
Azure,Micro,US-East,Linux,21,82,902,97.1,37.0,33.9
Azure,Micro,AP-South,Ubuntu,16,54,594,68.2,29.6,27.1
AWS,Micro,AP-South,Linux,23,193,2316,190.7,57.8,79.7
AWS,Micro,US-East,Ubuntu,5,116,1044,165.6,46.5,47.5
Azure,X-Large,US-East,Windows,18,3643,40073,143.3,68.4,65.4
Azure,Micro,EU-West,Windows,1,91,1092,119.6,61.0,44.1
AWS,Large,US-East,Linux,14,449,5837,165.0,28.8,27.7
AWS,X-Large,AP-South,Windows,10,1874,13118,81.5,48.1,48.4
Azure,X-Large,US-East,Ubuntu,7,2464,17248,92.3,43.2,45.8
Azure,X-Large,US-East,Ubuntu,18,4604,36832,147.4,55.3,79.6
AWS,Micro,EU-West,Ubuntu,12,187,1683,74.8,60.6,73.6
GCP,Micro,AP-South,Linux,11,170,2380,17.5,52.1,77.6
GCP,X-Large,EU-West,Ubuntu,4,3010,15050,19.5,47.6,50.1
GCP,Micro,AP-South,Ubuntu,5,16,176,27.5,17.8,14.1
AWS,Large,AP-South,Windows,21,1293,16809,174.6,73.8,83.0
AWS,Large,AP-South,Linux,3,838,10056,97.1,42.4,50.9
AWS,Micro,AP-South,Ubuntu,18,152,1368,144.0,50.9,63.2
GCP,X-Large,AP-South,Ubuntu,19,3001,24008,81.6,54.3,50.8
Azure,Micro,US-East,Windows,0,169,1859,55.4,73.8,83.2
AWS,Micro,US-East,Linux,19,157,1413,72.7,47.3,77.0
AWS,Micro,EU-West,Linux,16,152,1672,159.9,47.6,65.3
AWS,X-Large,US-East,Windows,11,1943,9715,126.9,54.1,49.3
GCP,Large,EU-West,Windows,14,398,1990,187.8,52.1,39.1
Azure,Micro,AP-South,Windows,0,158,2212,137.5,73.2,82.1
GCP,X-Large,US-East,Windows,13,2449,17143,116.2,55.4,53.1
GCP,X-Large,AP-South,Linux,5,4737,28422,124.0,62.1,85.8
GCP,Large,EU-West,Linux,4,691,4146,188.8,40.6,37.2
AWS,X-Large,US-East,Ubuntu,10,4959,54549,158.7,60.3,78.5
GCP,X-Large,US-East,Ubuntu,3,1895,26530,9.7,33.9,37.4
Azure,X-Large,EU-West,Ubuntu,12,3189,19134,109.2,48.1,56.5
Azure,Large,US-East,Linux,10,364,2912,139.2,27.7,23.9
Azure,Micro,EU-West,Ubuntu,2,67,402,151.0,32.2,25.7
Azure,Large,EU-West,Ubuntu,0,220,2200,46.6,24.7,10.9
GCP,Micro,US-East,Windows,5,91,1092,174.1,60.6,49.1
Azure,X-Large,US-East,Linux,17,4652,65128,191.4,64.9,79.8
Azure,X-Large,EU-West,Windows,23,4202,33616,51.2,74.6,72.2
GCP,Micro,AP-South,Ubuntu,9,96,864,177.1,36.3,41.1
GCP,Large,AP-South,Linux,4,1183,9464,23.9,51.2,67.9
AWS,Large,US-East,Windows,22,504,3528,15.9,53.7,47.3
GCP,Large,US-East,Ubuntu,9,570,5130,30.2,36.2,31.9
GCP,Micro,AP-South,Ubuntu,11,98,1274,16.3,36.2,43.1
AWS,X-Large,EU-West,Linux,1,1852,22224,169.8,35.5,33.4
AWS,X-Large,EU-West,Windows,12,1383,16596,16.5,52.1,37.5
GCP,X-Large,AP-South,Ubuntu,7,2931,35172,58.0,44.4,49.3
AWS,Micro,US-East,Ubuntu,1,198,2376,25.2,60.0,84.8
Azure,X-Large,US-East,Linux,19,1424,15664,62.6,37.9,27.9
GCP,X-Large,US-East,Linux,0,3208,38496,22.7,46.6,61.9
AWS,Large,AP-South,Linux,4,1401,16812,135.3,56.5,75.7
AWS,X-Large,AP-South,Ubuntu,8,1628,19536,31.0,31.3,39.1
AWS,Large,AP-South,Ubuntu,16,1094,15316,171.1,48.5,62.5
AWS,Micro,EU-West,Windows,8,80,880,164.4,54.7,48.8
GCP,Large,EU-West,Windows,10,797,3985,7.7,60.0,58.4
AWS,X-Large,EU-West,Ubuntu,14,4062,32496,179.7,50.4,76.6
AWS,X-Large,EU-West,Ubuntu,23,3336,26688,10.6,44.9,63.3
AWS,Large,AP-South,Ubuntu,5,792,7128,51.7,39.0,43.0
Azure,X-Large,AP-South,Linux,22,2687,37618,11.3,42.8,39.4
Azure,Large,EU-West,Linux,2,772,7720,70.5,39.5,40.4
GCP,X-Large,US-East,Windows,16,4425,35400,105.2,77.6,89.6
GCP,Large,AP-South,Windows,4,227,1362,160.3,47.0,19.9
Azure,Large,AP-South,Windows,11,1153,11530,70.9,68.8,82.2
Azure,Micro,AP-South,Linux,17,52,624,142.6,27.0,28.4
AWS,Large,US-East,Linux,13,622,7464,41.6,37.0,40.1
AWS,Large,US-East,Windows,20,376,4136,151.4,51.8,38.4
Azure,Micro,AP-South,Linux,23,26,260,51.0,25.6,8.6
GCP,X-Large,US-East,Windows,10,2633,15798,33.0,54.5,64.4
Azure,Large,US-East,Ubuntu,8,1165,12815,41.2,55.9,72.0
GCP,Micro,US-East,Ubuntu,1,107,963,40.5,39.4,40.4
Azure,Micro,EU-West,Linux,11,74,740,105.0,32.1,37.2
AWS,Large,US-East,Ubuntu,2,1041,14574,169.7,50.9,67.3
GCP,X-Large,US-East,Windows,2,1852,22224,20.5,52.6,37.7
AWS,Micro,EU-West,Windows,0,14,168,142.9,45.0,24.4
Azure,Large,US-East,Linux,7,221,1547,132.6,23.3,27.9
GCP,Micro,EU-West,Windows,21,121,1331,175.1,61.5,70.7
GCP,X-Large,EU-West,Ubuntu,7,2080,10400,52.6,39.3,40.8
GCP,Large,US-East,Windows,10,1289,6445,92.8,77.1,68.8
AWS,Large,US-East,Ubuntu,8,1041,11451,185.5,51.0,67.4
Azure,X-Large,AP-South,Linux,4,1097,15358,133.7,31.7,32.8
AWS,X-Large,EU-West,Linux,13,4215,54795,80.8,57.4,69.8
GCP,Micro,EU-West,Windows,2,121,1331,30.6,64.4,60.4
AWS,Large,US-East,Ubuntu,20,634,8876,56.2,38.3,43.0
GCP,Micro,AP-South,Linux,4,134,1206,118.3,54.3,65.4
AWS,Large,EU-West,Windows,4,1309,15708,145.0,73.9,79.1
Azure,Micro,AP-South,Windows,18,85,510,29.3,55.6,50.6
AWS,Large,EU-West,Ubuntu,13,543,7059,121.9,36.8,33.6
AWS,X-Large,EU-West,Ubuntu,3,2317,23170,112.3,39.3,45.3
AWS,Micro,US-East,Linux,12,197,2561,105.2,58.7,84.5
AWS,Large,EU-West,Ubuntu,9,770,4620,139.6,45.5,53.1
Azure,Large,US-East,Ubuntu,17,810,5670,168.3,38.2,53.3
GCP,Micro,EU-West,Ubuntu,7,72,864,68.0,35.0,32.5
GCP,X-Large,US-East,Ubuntu,7,3608,18040,178.4,49.1,58.0
GCP,X-Large,EU-West,Linux,6,1959,27426,36.3,38.9,36.5
Azure,Micro,US-East,Linux,7,41,451,38.7,31.7,18.9
Azure,Micro,US-East,Linux,13,144,1584,57.0,46.3,57.8
AWS,Large,EU-West,Windows,18,476,2380,28.3,52.8,38.5
Azure,Large,US-East,Windows,5,731,9503,49.9,60.9,41.9
GCP,X-Large,AP-South,Windows,0,2177,26124,25.8,59.4,58.4
Azure,X-Large,AP-South,Ubuntu,22,3430,27440,165.2,44.2,58.8
GCP,X-Large,AP-South,Ubuntu,14,2091,29274,32.1,31.8,29.4
Azure,Micro,US-East,Linux,0,119,1071,150.7,50.1,51.9
Azure,Micro,EU-West,Linux,16,125,750,14.3,47.1,41.4
GCP,Micro,AP-South,Ubuntu,0,152,1976,190.0,49.4,62.4
GCP,X-Large,AP-South,Windows,14,3423,34230,143.7,63.3,65.1
Azure,X-Large,EU-West,Windows,22,3791,26537,6.3,71.1,76.3
Azure,X-Large,US-East,Windows,1,3260,35860,154.0,61.0,70.5
AWS,X-Large,US-East,Windows,13,3126,40638,105.2,67.7,69.4
GCP,Micro,EU-West,Linux,20,125,875,157.0,43.7,57.1
AWS,Large,EU-West,Windows,7,803,4818,106.9,60.9,59.4
Azure,Micro,EU-West,Windows,7,23,253,130.0,43.5,29.0
GCP,Large,US-East,Ubuntu,18,1200,13200,158.3,46.8,69.5
Azure,Large,AP-South,Ubuntu,6,879,7032,84.0,41.2,53.4
GCP,Micro,AP-South,Linux,18,67,871,5.5,35.8,34.4
Azure,Micro,EU-West,Windows,5,37,444,170.7,47.5,26.8
AWS,Micro,US-East,Linux,5,35,175,79.3,28.1,19.9
AWS,X-Large,EU-West,Windows,2,1880,9400,101.7,57.0,49.0
AWS,Micro,EU-West,Ubuntu,6,75,675,6.5,39.8,33.1
GCP,X-Large,AP-South,Windows,18,4992,49920,101.0,84.2,98.6
GCP,Large,EU-West,Ubuntu,7,1477,10339,197.4,60.6,85.5
GCP,Micro,EU-West,Linux,9,140,1820,59.3,46.7,60.4
AWS,X-Large,EU-West,Windows,19,2991,41874,82.1,64.7,67.7
GCP,X-Large,US-East,Linux,14,2067,20670,139.0,33.5,37.4
Azure,X-Large,AP-South,Linux,14,4168,33344,163.9,53.7,79.5
GCP,Micro,US-East,Linux,0,51,561,86.4,30.4,19.3
AWS,Large,EU-West,Ubuntu,19,1211,14532,65.4,51.6,68.6
AWS,Micro,EU-West,Windows,6,15,195,187.9,42.4,23.9
Azure,X-Large,EU-West,Linux,3,3726,37260,137.0,53.9,63.1
GCP,Large,US-East,Ubuntu,5,800,8000,28.2,41.2,39.0
GCP,Large,AP-South,Linux,0,578,6936,18.4,37.3,40.5
Azure,Large,US-East,Linux,4,1401,12609,99.3,63.4,84.8
Azure,Large,US-East,Ubuntu,22,908,6356,47.9,40.7,61.9
AWS,X-Large,AP-South,Linux,0,1306,9142,54.5,31.4,17.8
GCP,X-Large,US-East,Linux,3,1778,17780,176.1,28.4,26.7
Azure,Large,EU-West,Ubuntu,21,703,4218,22.5,40.4,44.1
GCP,Large,US-East,Linux,1,467,4670,144.5,34.8,38.5
Azure,Large,AP-South,Windows,9,207,2070,57.9,46.6,35.6
AWS,Large,EU-West,Linux,4,707,8484,153.3,41.3,37.0
Azure,X-Large,US-East,Windows,9,1475,16225,145.9,53.0,45.3
Azure,Large,AP-South,Ubuntu,0,363,4356,6.4,29.3,31.6
Azure,Large,EU-West,Linux,21,684,8892,104.3,37.7,44.2
Azure,Micro,AP-South,Windows,5,94,940,32.2,61.3,64.5
Azure,X-Large,AP-South,Windows,12,4143,29001,173.9,78.7,75.7
GCP,Large,US-East,Windows,14,766,10724,175.0,60.5,52.2
AWS,Large,US-East,Linux,3,1104,7728,86.6,51.1,66.2
AWS,Micro,EU-West,Windows,12,56,280,91.7,47.8,39.8
Azure,Large,AP-South,Linux,23,437,3933,64.1,35.0,30.7
Azure,Large,US-East,Ubuntu,19,1327,10616,144.7,51.5,81.1
GCP,Large,EU-West,Ubuntu,23,1433,18629,74.9,55.1,78.1
Azure,Micro,AP-South,Linux,14,51,663,57.2,25.5,27.1
Azure,X-Large,AP-South,Linux,7,3875,34875,89.3,49.0,61.4
GCP,Micro,US-East,Ubuntu,4,21,294,22.8,24.1,4.4
Azure,X-Large,US-East,Ubuntu,14,3433,27464,150.6,48.9,49.4
